mode,price,catchrate,d.beach,d.pier,d.private,d.charter,price.beach,price.pier,price.private,price.charter,catch.beach,catch.pier,catch.private,catch.charter,income,mode1
charter,182.93,0.5391,0,0,0,1,157.93,157.93,157.93,182.93,0.0678,0.0503,0.2601,0.5391,7.083332,4
charter,34.534,0.4671,0,0,0,1,15.114,15.114,10.534,34.534,0.1049,0.0451,0.1574,0.4671,1.25,4
private,24.334,0.2413,0,0,1,0,161.874,161.874,24.334,59.334,0.5333,0.4522,0.2413,1.0266,3.75,3
pier,15.134,0.0789,0,1,0,0,15.134,15.134,55.93,84.93,0.0678,0.0789,0.1643,0.5391,2.083333,2
private,41.514,0.1082,0,0,1,0,106.93,106.93,41.514,71.014,0.0678,0.0503,0.1082,0.324,4.583332,3
charter,63.934,0.3975,0,0,0,1,192.474,192.474,28.934,63.934,0.5333,0.4522,0.1665,0.3975,4.583332,4
beach,51.934,0.0678,1,0,0,0,51.934,51.934,191.93,220.93,0.0678,0.0789,0.1643,0.5391,8.750001,1
charter,56.714,0.0209,0,0,0,1,15.134,15.134,21.714,56.714,0.0678,0.0789,0.0102,0.0209,2.083333,4
private,34.914,0.0233,0,0,1,0,34.914,34.914,34.914,53.414,0.2537,0.1498,0.0233,0.0219,3.75,3
private,28.314,0.0233,0,0,1,0,28.314,28.314,28.314,46.814,0.2537,0.1498,0.0233,0.0219,2.916667,3
pier,34.914,0.0451,0,1,0,0,34.914,34.914,24.334,48.334,0.1049,0.0451,0.1574,0.4671,3.75,2
private,16.722,0.2413,0,0,1,0,312.144,312.144,16.722,51.722,0.5333,0.4522,0.2413,1.0266,7.083332,3
pier,17.862,0.0451,0,1,0,0,17.862,17.862,4.122,28.122,0.1049,0.0451,0.0023,0.0046,1.25,2
pier,15.134,0.0789,0,1,0,0,15.134,15.134,55.93,84.93,0.0678,0.0789,0.0014,0.0029,2.083333,2
beach,74.514,0.2537,1,0,0,0,74.514,74.514,74.514,93.014,0.2537,0.1498,0.2339,0.6288,8.750001,1
pier,33.534,0.0789,0,1,0,0,33.534,33.534,123.93,152.93,0.0678,0.0789,0.1643,0.5391,5.416667,2
beach,48.114,0.1049,1,0,0,0,48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5.416667,1
pier,33.462,0.0079,0,1,0,0,33.462,33.462,7.722,31.722,0.1049,0.0079,0.0613,0.3087,2.916667,2
private,11.322,0.0361,0,0,1,0,211.344,211.344,11.322,46.322,0.5333,0.0069,0.0361,0.4216,4.583332,3
private,11.322,0.1574,0,0,1,0,49.062,49.062,11.322,35.322,0.1049,0.0451,0.1574,0.4671,4.583332,3
charter,53.522,0.0058,0,0,0,1,345.744,345.744,18.522,53.522,0.5333,0.4522,0.0156,0.0058,7.916667,4
charter,44.322,0.0046,0,0,0,1,88.062,88.062,20.322,44.322,0.1049,0.0451,0.0023,0.0046,8.750001,4
private,15.134,0.1665,0,0,1,0,100.674,100.674,15.134,50.134,0.5333,0.4522,0.1665,0.3975,2.083333,3
charter,43.734,0.3087,0,0,0,1,28.314,28.314,19.734,43.734,0.1049,0.0079,0.0613,0.3087,2.916667,4
charter,69.32,0.6456,0,0,0,1,33.462,33.462,34.32,69.32,0.0678,0.0789,0.0559,0.6456,2.916667,4
beach,67.784,0.5333,1,0,0,0,67.784,67.784,17.862,52.862,0.5333,0.4522,0.2413,1.0266,1.25,1
